ID,windFarm,country,waterBody,description,latitude,longitude,windFarmImageUrl,windFarmRatedPowerMW,windFarmDensityMWKm2,capacityFactorReal,capacityFactorModel,capacityFactorInfiniteFarm,capacityFactorIsolatedTurbine,ratioCapacityFactorRealModel,windFarmEfficiency,windLambda,windKw,numberWT,wtRatedPowerMW,rotorDiameterM,nacelleHeightM,windFarmAreaKm2
1,Arkona,DE,Baltic Sea,Offshore wind farm operated by RWE in the Baltic Sea near Rügen island,54.45115,14.7127,https://www.rwe.com/-/media/RWE/images/01-der-konzern/laender-und-standorte/betriebsstandorte/offshore-windpark-arkona/TIC01-umspannwerk.jpg?db=web&mw=1920&w=2160&hash=936E61B0170DF29222D31F5FAC9BDD3A,360,9.7,41,45.6,34.6,61.1,89.8,67.1,10.75,2.4,60,6,154,102,37
2,Wikinger,DE,Baltic Sea,Offshore wind farm operated by Iberdrola in the Baltic Sea near Rügen island,54.502,14.45,https://www.iberdrola.de/documents/47307/20393061/mod-5-img-gallery-2.webp,350,10.8,38.9,40.4,31.5,59.1,96.3,65.8,10.75,2.4,70,5,135,97.5,32.3
3,Kriegers Flak,DK,Baltic Sea,Offshore wind farm operated by Vattenfall in the Baltic Sea between Denmark and Sweden,55.148,12.56239,https://powerplants.vattenfall.com/binaries/large/content/gallery/powerplants/plants/kriegers-flak-dk_1200x800px.jpg,604.8,3.4,44.2,51.6,46.2,59,85.7,74.9,11,2.4,72,8.4,167,107,179
4,Baltic 1,DE,Baltic Sea,Offshore wind farm operated by EnBW in the Baltic Sea near Darß/Zingst peninsula,54.3650,12.400,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Windmills_Baltic_1.jpg/1920px-Windmills_Baltic_1.jpg,48.3,6.9,42.6,55,37.7,58.5,77.3,72.8,10.8,2.4,21,2.3,93,67,7
5,Baltic 2,DE,Baltic Sea,Offshore wind farm operated by EnBW in the Baltic Sea near Rügen island,54.5824,13.1040,https://www.enbw.com/webcam/baltic2/baltic2-webcam.jpg?__random=1751556326230,288,10.7,42.6,44.5,30.3,60.6,95.8,70.3,10.8,2.4,80,3.6,120,78.2,27
6,Rodsand 1,DK,Baltic Sea,Offshore wind farm operated by E.ON in the Baltic Sea near Rødsand lagoon Denmark,54.330,11.4236,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Windpark_Nysted.jpg/1280px-Windpark_Nysted.jpg,165.6,7.5,35.6,40.1,31.1,52.8,88.8,67.5,10.8,2.4,72,2.3,82,69,22
7,Rodsand 2,DK,Baltic Sea,Offshore wind farm operated by RWE in the Baltic Sea near Rødsand Denmark,54.33301,11.31504,https://dk.rwe.com/-/media/RWE/RWE-Denmark/projects-and-locations/rodsand-ii/STA02-rodsand-ii.jpg?db=web&mw=1920&w=2160&hash=567C8E6E166983A1631B58106F537728,207,5.9,43,48.4,36.7,58.9,88.8,73,10.85,2.4,90,2.3,93,68,35
8,Lillgrund,SE,Baltic Sea,Offshore wind farm operated by Vattenfall in the Öresund strait between Sweden and Denmark,55.3040,12.4644,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Turbiny_wiatrowe_w_Szwecji%2C_2011_ubt.JPG/1920px-Turbiny_wiatrowe_w_Szwecji%2C_2011_ubt.JPG,110.4,23,31,35.2,16.6,56.4,88,55,10.5,2.4,48,2.3,93,65,4.8
9,Anholt 1,DK,Baltic Sea,Offshore wind farm operated by Ørsted in the Kattegat sea between Denmark and Sweden,56.360,11.1236,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Anholt_Havm%C3%B8llepark.jpg/1280px-Anholt_Havm%C3%B8llepark.jpg,399.6,4.5,48.5,52.4,43.2,62,92.4,78.2,11,2.4,111,3.6,120,81.6,89.4
10,Horns Rev 1,DK,North Sea,Offshore wind farm operated by Vattenfall in the North Sea west of Denmark,55.3147,7.5422,https://powerplants.vattenfall.com/binaries/large/content/gallery/powerplants/plants/horns-rev-1-wind.jpg,160,8,39.7,46.7,35.5,59.4,85.1,66.9,11.5,2.4,80,2,80,70,20
11,Horns Rev 2,DK,North Sea,Offshore wind farm operated by Ørsted in the North Sea west of Denmark,55.3147,7.5422,https://cdn.offshorewind.biz/wp-content/uploads/sites/6/2021/02/05101051/Horns-Rev-2_Orsted-768x512.jpg,209.3,6.3,46.6,51.8,39.8,62.8,90,74.3,11.5,2.4,91,2.3,93,68,33
